datetime,realization,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf
9/21/2011,1,934.3542654,1198.329319,787.9950945,637.7577377,924.2270919,1994.71062,1051.341192,3102.593318,3643.892564,486.8323468,107.5814179,1119.386712
9/22/2011,1,902.690915,1183.476065,760.8763781,614.036656,915.3943495,2414.221536,1464.81542,3187.364395,3626.821592,474.8395753,101.5982366,1113.762369
9/23/2011,1,865.6980204,1170.988823,748.5661349,613.6081867,889.4204631,2640.771853,1621.109404,3165.798309,3514.280437,446.009977,98.01568993,1062.292734
9/24/2011,1,849.5655264,1165.12653,738.8650988,600.8967129,869.4773311,2100.638397,1213.925436,3037.91272,3422.587201,426.7229091,92.43789083,1013.901718
9/25/2011,1,944.5155108,1215.819942,770.3912465,616.8478421,909.2452583,2814.221735,1913.554366,3205.161053,3336.053806,425.0461473,96.31069738,1007.650709
9/26/2011,1,1027.813089,1238.637012,790.9457991,632.4441719,930.6481662,3364.048629,2313.191251,3230.980743,3214.871025,434.4386638,105.1296221,1013.076081
9/27/2011,1,957.4965657,1159.366638,750.1202946,600.0316844,875.2315976,2395.391275,1495.216914,2924.477968,3117.153282,423.9575062,102.6432659,996.8553398
9/28/2011,1,849.4484338,1056.936028,705.0017325,560.3584268,818.9840375,1778.18444,1013.203115,2741.869355,3110.58858,410.7257536,95.70037826,975.2902904
9/29/2011,1,791.8094016,1021.590982,679.7751642,532.9392785,806.4540498,1726.939376,975.4526407,2747.523263,3144.550741,397.8241584,89.52132193,956.4575038
9/30/2011,1,775.5895614,1022.199879,670.9549086,524.9193315,784.3170614,1699.043413,957.6299061,2772.640755,3155.62621,390.1628295,85.92172048,939.6609909
10/1/2011,1,808.279184,1043.344738,686.5875749,564.819008,782.4898529,1680.861842,943.8184511,2732.684731,3056.548568,390.9368393,86.81014939,973.7944665
10/2/2011,1,869.6107944,1047.157334,698.8818702,563.7369478,789.5601657,1664.922064,933.0911503,2622.309989,2897.019635,387.9676608,88.71281223,978.281307
10/3/2011,1,2185.046936,1103.917714,697.7357611,792.0379105,784.6704569,1646.425796,926.0759376,2538.239897,2845.020915,401.4447214,91.72696368,963.595312
10/4/2011,1,8454.618842,6469.265274,5539.730715,4291.87129,1705.366176,6857.974912,2511.774535,3997.181099,8382.202523,2210.577008,281.0811793,2951.363082
10/5/2011,1,10868.7381,11419.24424,9174.279571,5602.36951,2973.084073,14938.97056,6070.474226,6579.698002,12546.33792,3183.831803,657.0529241,6434.924403
10/6/2011,1,7658.165439,7552.173421,6801.112619,3576.096274,2516.345812,13574.78069,5961.637642,5741.018124,8392.597847,1857.479095,658.3982457,5700.93523
10/7/2011,1,3421.944464,2677.525248,2823.159526,1569.686982,1383.729189,5915.053873,2790.878499,3387.313733,3867.962297,711.2319134,309.5940045,2623.916557
10/8/2011,1,1471.65862,1318.498713,1086.202997,732.1973629,947.2400109,2391.911003,1198.012002,2623.962831,2778.998355,441.772605,124.3817051,1218.639601
10/9/2011,1,1430.966982,1606.666345,1492.28897,867.4975982,896.0825021,2456.104486,1082.399185,2574.882196,2864.050242,479.2474285,104.4695938,1033.92555
10/10/2011,1,3513.270463,3806.560064,5753.366236,2886.835552,1004.271482,3865.391032,1483.499123,2567.188252,3199.730014,546.5276011,106.9847847,1202.427365
10/11/2011,1,3882.266996,4319.841843,5914.452188,3159.839431,1072.869697,5151.036026,2033.883103,2636.45614,3464.269173,513.4637245,104.258959,1356.75897
10/12/2011,1,2114.65102,2461.247826,2536.222351,1557.157407,947.929856,4533.452426,2246.686796,3003.259423,5136.376734,573.0011112,99.43222237,1459.132419
10/13/2011,1,1121.811934,1315.350211,935.3466652,711.5026477,799.1091365,3053.090831,2061.054711,3664.481953,7748.768178,871.1716997,100.2253552,1717.500722
10/14/2011,1,919.9939509,1066.25021,692.9424159,578.3151729,730.1938629,2348.518825,1932.17134,4258.299085,8363.415037,1100.13044,99.40864904,2024.265059
10/15/2011,1,865.2405687,992.3867277,666.1704444,558.6846288,709.9030154,2222.853965,1972.418919,4346.88501,7074.059944,984.1204204,88.94602246,2027.75893
10/16/2011,1,838.3444878,955.6461534,644.0556927,536.3754656,696.6838448,2068.367351,1769.448118,3813.798918,5287.076897,706.0264422,79.30055933,1857.910434
10/17/2011,1,841.9301525,991.0840869,639.2569785,524.3615118,691.8895059,1853.591669,1397.91033,3015.924895,3792.470287,495.5406294,79.45736364,1573.815826
10/18/2011,1,829.1604728,969.4151409,637.046325,508.0132691,680.4306245,1698.888835,1157.854374,2479.321182,3065.513834,405.8816441,78.26660457,1237.108731
10/19/2011,1,825.860434,906.3700591,628.7618642,499.5629773,669.1359005,1633.267971,1044.421963,2257.853873,2806.388348,383.2191324,76.90453296,1071.898803
10/20/2011,1,817.0720619,880.5213446,621.870914,496.2132535,668.4140008,1605.390265,961.8380124,2132.138641,2605.255656,373.8835073,77.34963825,991.9339763
10/21/2011,1,814.2490342,880.7434461,613.7895328,501.5317251,659.8528788,1575.019818,895.5169943,2047.479277,2433.208749,364.2210859,76.65731811,910.7023265
10/22/2011,1,806.5468794,871.5425639,610.7757657,495.3332943,653.4266486,1546.73548,863.0270372,1995.212058,2334.492053,356.1737243,74.95208583,870.0334056
10/23/2011,1,779.5630639,850.2663293,598.9392532,468.945975,639.7783376,1516.874036,846.128631,1958.689987,2286.202927,348.9582041,73.26053178,859.4324476
10/24/2011,1,764.7393817,837.048313,587.1629167,461.7145738,624.6989414,1487.688393,830.9911004,1937.717804,2255.262791,343.4508765,71.68593923,834.7048836
10/25/2011,1,761.8354251,864.6366269,592.8828175,469.9924376,623.0825154,1467.623419,818.1680624,1920.65693,2203.219076,337.1840608,71.10473468,808.3331485
10/26/2011,1,804.1158609,903.5827678,613.4196103,478.3516169,631.3429581,1456.194374,809.6518451,1895.500948,2138.93869,338.6843932,74.45072116,798.6908065
10/27/2011,1,833.5560788,904.7721178,619.6571147,476.1595569,633.7612005,1441.763754,801.3122674,1877.967038,2085.27059,336.671261,75.85929956,796.2251318
10/28/2011,1,815.7000704,876.0443979,597.615157,463.8881917,625.836763,1420.798843,789.930293,1852.988765,2041.852845,330.9810224,74.31291653,786.6441467
10/29/2011,1,777.3504602,847.1537264,570.2287321,445.7300179,609.541296,1395.961243,775.3123824,1821.334831,2004.621295,324.4130938,72.47852523,773.1332539
10/30/2011,1,725.8205576,808.2899773,552.5015043,426.4776237,591.5218034,1371.892557,761.011868,1789.119838,1973.542703,319.1583346,70.70168138,759.4841158
10/31/2011,1,700.654022,781.8114025,540.8069271,417.4723867,579.6286817,1350.20037,748.0818613,1761.097603,1937.099945,312.3240907,68.33374587,745.3707998
11/1/2011,1,719.1089329,794.245198,545.0900838,423.8362231,571.4279424,1333.288904,737.4961262,1741.329028,1912.374188,309.2833531,67.53011316,735.7244278
11/2/2011,1,751.4824364,839.181095,565.0703676,444.5103445,575.1215848,1320.588788,728.9499679,1729.650214,1890.693657,308.440052,68.8232243,732.14979
11/3/2011,1,1118.396909,1134.372167,1083.922341,659.8014895,644.1555573,1597.746013,839.8726902,1884.984188,2241.711938,517.5764331,98.32876047,818.9909741
11/4/2011,1,1316.165374,1604.166055,1500.520181,858.5149502,676.1857281,1904.322704,982.4887745,2007.061051,2359.302391,800.6840736,169.7810571,967.4393073
11/5/2011,1,2097.391393,2095.690723,2178.110387,1789.724653,787.2440184,2133.198406,1100.367531,1898.963797,2090.496142,635.5670182,154.4425983,1005.770339
11/6/2011,1,1935.767418,2429.840509,2487.581483,1817.045237,760.1299432,1912.231601,1039.88099,1809.219872,1971.309071,448.0293575,113.3780147,880.5101121
11/7/2011,1,1149.658998,1739.291636,1634.226267,929.1667139,637.9200745,1502.609376,838.9563972,1765.187626,1906.269987,364.8736334,92.03854132,788.2553761
11/8/2011,1,873.3132003,1108.99331,851.7732403,527.7821888,591.2104469,1329.304345,726.8743412,1724.243647,1844.372356,317.089202,77.79663157,760.1151889
11/9/2011,1,855.764521,1027.178639,734.7560995,552.0664854,574.3576912,1311.464187,723.5158058,1745.210451,1817.517955,314.5100821,79.58988061,738.6582733
11/10/2011,1,912.7496917,1353.893977,735.2284415,602.7769163,560.9121298,1310.820362,735.0420558,1788.099996,1830.064416,326.6330827,93.89309785,727.5260585
